date,M1,rainfall,dt_m1,dt_rainfall,logM1,log_rainfall
1/02/1993,192026,27.6,135790.0706,-352.6973499,12.16538606,3.317815773
1/03/1993,196573,33.4,135507.882,-407.3108081,12.18878914,3.5085559
1/04/1993,196168,48,130273.6934,-453.1242662,12.18672671,3.871201011
1/05/1993,198991,177.6,128267.5047,-383.9377244,12.20101488,5.179533831
1/06/1993,200963,242,125410.3161,-379.9511826,12.21087609,5.488937726
1/07/1993,201165,365.2,120783.1275,-317.1646408,12.21188075,5.900445149
1/08/1993,203072,523.6,117860.9388,-219.178099,12.22131587,6.260728034
1/09/1993,204579,606.3,114538.7502,-196.8915571,12.22870949,6.407374913
1/11/1993,209227,613.3,114357.5616,-250.3050153,12.25117507,6.418854213
1/12/1993,210927,615.7,111228.3729,-308.3184735,12.25926738,6.422759832
1/01/1994,212538,617.3,108010.1843,-367.1319317,12.26687607,6.425355129
1/02/1994,214541,617.5,105183.9957,-427.3453898,12.27625614,6.425679069
1/03/1994,219160,621.3,104973.807,-483.958848,12.29755734,6.431814057
1/04/1994,216936,625.5,97920.61841,-540.1723062,12.28735766,6.43855133
1/05/1994,219802,718.9,95957.42977,-507.1857644,12.30048242,6.577722266
1/06/1994,217632,922.3,88958.24114,-364.1992225,12.29056084,6.82687055
1/07/1994,217784,1089.7,84281.0525,-257.2126807,12.29125902,6.993657708
1/08/1994,219561,1253.9,81228.86387,-153.4261389,12.29938538,7.134013973
1/09/1994,220399,1333.1,77237.67524,-134.6395971,12.30319482,7.195262336
1/10/1994,218063,1348.9,70072.4866,-179.2530553,12.29253929,7.207044724
1/11/1994,221095,1355.5,68275.29797,-233.0665134,12.30634775,7.211925669
1/12/1994,218013,1355.5,60364.10934,-293.4799716,12.29230997,7.211925669
1/01/1995,218028,1355.5,55549.9207,-353.8934298,12.29237877,7.211925669
1/02/1995,221806,1367.5,54498.73207,-402.306888,12.3095584,7.220739534
