,GDP,M1,rainfall,logGDP,log_rainfall,log_M1
1/04/1993,6829.6,196168,48,8.829021386,3.871201011,12.18672671
1/07/1993,6904.2,201165,365.2,8.839885201,5.900445149,12.21188075
1/01/1994,7136.3,212538,617.3,8.872949714,6.425355129,12.26687607
1/04/1994,7269.8,216936,625.5,8.89148406,6.43855133,12.28735766
1/07/1994,7352.3,217784,1089.7,8.902768468,6.993657708,12.29125902
1/10/1994,7476.7,218063,1348.9,8.919546797,7.207044724,12.29253929
1/01/1995,7545.3,218028,1355.5,8.928680132,7.211925669,12.29237877
1/04/1995,7604.9,228208,1398.3,8.936548055,7.243012492,12.33801277
1/07/1995,7706.5,236108,1965.5,8.949819408,7.583501945,12.37204461
1/10/1995,7799.5,247583,2225.1,8.961814908,7.707557137,12.41950116
1/01/1996,7893.1,250562,2263.5,8.973744239,7.724667567,12.43146167
1/04/1996,8061.5,259556,2299.7,8.994854922,7.740533959,12.46672776
1/07/1996,8159,267076,2782.5,9.006876891,7.931105083,12.49528854
1/10/1996,8287.1,268664,3077.7,9.022455368,8.031937844,12.50121681
1/01/1997,8402.1,274230,3149.5,9.036236954,8.054998989,12.52172245
1/04/1997,8551.9,288107,3245.5,9.053908759,8.0850247,12.57108722
1/07/1997,8691.8,331402,3570.5,9.070135331,8.180460921,12.71108742
1/10/1997,8788.3,327788,3840.5,9.08117657,8.253357845,12.70012234
1/01/1998,8889.7,331633,3850.1,9.092648582,8.255854401,12.71178421
1/04/1998,8994.7,342578,3908.3,9.104390794,8.270857776,12.74425465
1/07/1998,9146.5,352855,4263.3,9.121126571,8.357798787,12.77381249
1/10/1998,9325.7,358894,4552.1,9.140529309,8.423343944,12.79078236
1/01/1999,9447.1,359951,4639.1,9.153463095,8.442275661,12.79372319
1/04/1999,9557,369023,4697.9,9.165029149,8.454870879,12.81861425
1/07/1999,9712.3,382941,5031.7,9.181148402,8.523513178,12.85563621
1/10/1999,9926.1,391250,5401.3,9.202922931,8.594394944,12.87710202
1/01/2000,10031,402359,5551.9,9.213435577,8.62189549,12.9051
1/04/2000,10278.3,418631,5606.7,9.237790156,8.63171759,12.94474514
1/07/2000,10357.4,437535,5987.3,9.245456519,8.697395838,12.98891198
1/10/2000,10472.3,450245,6185.1,9.256488955,8.729898453,13.01754716
1/01/2001,10508.1,457305,6211.5,9.259901667,8.734157692,13.03310584
1/04/2001,10638.4,478628,6228.7,9.272225376,8.736922922,13.07867896
1/07/2001,10639.5,492632,6591.5,9.272328769,8.793536219,13.10751772
1/10/2001,10701.3,502863,6867.5,9.278120508,8.834555418,13.12807305
1/01/2002,10834.4,495981,6916.1,9.290481536,8.841607306,13.1142929
1/04/2002,10934.8,503636,7022.9,9.299705643,8.856931517,13.12960906
1/07/2002,11037.1,522458,7396.9,9.309017604,8.908816273,13.16629988
1/10/2002,11103.8,535512,7605.9,9.315042671,8.936679541,13.19097858
1/01/2003,11230.1,538903,7636.9,9.326352952,8.940747041,13.19729087
1/04/2003,11370.7,552705,7758.3,9.33879515,8.956518517,13.22257968
1/07/2003,11625.1,561559,8170.3,9.360921833,9.008260907,13.23847212
1/10/2003,11816.8,583603,8465.7,9.377277527,9.043777985,13.27697624
1/01/2004,11988.4,599204,8489.1,9.391694795,9.046538267,13.30335739
1/04/2004,12181.4,621945,8503.1,9.407665477,9.048186082,13.34060694
1/07/2004,12367.7,636945,8842.1,9.422843514,9.087279684,13.36443859
1/10/2004,12562.2,657835,9090.7,9.438447584,9.115007192,13.39670942
1/01/2005,12813.7,675488,9126.1,9.45827019,9.118893719,13.42319067
1/04/2005,12974.1,686948,9209.1,9.470710341,9.127947405,13.44001388
1/07/2005,13205.4,713806,9714.1,9.488381116,9.181333717,13.4783665
1/10/2005,13381.6,735213,9982.5,9.501635908,9.208588839,13.50791553
1/01/2006,13648.9,749741,10029.3,9.521414211,9.213266088,13.52748309
1/04/2006,13799.8,774324,10079.9,9.532409378,9.218298621,13.55974567
